bigdata;7; a1f7a087 083feac7 73c6dac7 ff602976 6f2d7b9c 8406c693 75e4d32d
careerstage_early;14; 716d4e50 ddb833db 73c6dac7 596c9360 2ad48170 a1f7a087 ff602976 4bc9c37a 6f2d7b9c f476a125 8406c693 bfed6c90 6e3ce0df e45d93e2
careerstage_mid;11; c21f67d3 75fd6fb7 1231bb27 9cb10483 a2ee9cea 1cdb5979 e9149bf7 9d1913de 7ea85f8c 75e4d32d 6a2200fe
careerstage_senior;13; 1fd5edd4 856e6fc1 16f35e31 b7ea1fd5 a60f6e5b be931a62 a062c1a5 c589d483 a340b66c dadb8799 3a37cdc7 f2fb100b 083feac7
cloud;9; 16f35e31 9d1913de 6a2200fe bfed6c90 ff602976 c589d483 716d4e50 083feac7 1231bb27
deployments;4; c589d483 be931a62 083feac7 9d1913de
distsystems;10; 73c6dac7 716d4e50 9d1913de 16f35e31 1231bb27 083feac7 e45d93e2 75e4d32d 6e3ce0df bfed6c90
economics;1; e45d93e2
energyeff;6; 3a37cdc7 b7ea1fd5 9cb10483 a062c1a5 75e4d32d 856e6fc1
geo_asia;2; b7ea1fd5 75e4d32d
geo_eu;3; 6f2d7b9c 2ad48170 7ea85f8c
hardware;6; c589d483 a1f7a087 1231bb27 716d4e50 3a37cdc7 6a2200fe
industryacad_a;27; a340b66c 596c9360 a2ee9cea e9149bf7 9cb10483 bfed6c90 8406c693 3a37cdc7 2ad48170 a062c1a5 73c6dac7 b7ea1fd5 716d4e50 856e6fc1 7ea85f8c 1cdb5979 1fd5edd4 6a2200fe 6f2d7b9c 4bc9c37a ff602976 a1f7a087 1231bb27 e45d93e2 75e4d32d dadb8799 f2fb100b
industryacad_i;11; 9d1913de 16f35e31 6e3ce0df 75fd6fb7 be931a62 f476a125 c21f67d3 c589d483 083feac7 ddb833db a60f6e5b
measurement;12; e9149bf7 dadb8799 1fd5edd4 bfed6c90 8406c693 f2fb100b 75fd6fb7 596c9360 b7ea1fd5 a1f7a087 1231bb27 a60f6e5b
mlsystems;8; 8406c693 f2fb100b 75e4d32d e45d93e2 ff602976 4bc9c37a be931a62 6f2d7b9c
mobilesensor;10; b7ea1fd5 9cb10483 c21f67d3 a062c1a5 3a37cdc7 f2fb100b 856e6fc1 e9149bf7 1cdb5979 a2ee9cea
netmanagement;8; f476a125 a1f7a087 1231bb27 dadb8799 bfed6c90 a062c1a5 596c9360 a60f6e5b
networking;21; bfed6c90 8406c693 596c9360 be931a62 75e4d32d f2fb100b dadb8799 f476a125 4bc9c37a a1f7a087 1231bb27 856e6fc1 7ea85f8c 6a2200fe a062c1a5 c589d483 73c6dac7 75fd6fb7 a60f6e5b ddb833db b7ea1fd5
securityprivacy;7; 1cdb5979 16f35e31 e45d93e2 75e4d32d dadb8799 f2fb100b bfed6c90
storagecachingdb;11; 8406c693 6e3ce0df 083feac7 ff602976 9d1913de 16f35e31 ddb833db 716d4e50 2ad48170 c21f67d3 a340b66c
systems;17; ff602976 4bc9c37a 1231bb27 083feac7 e45d93e2 f2fb100b a062c1a5 2ad48170 a60f6e5b 716d4e50 ddb833db 16f35e31 9d1913de 1fd5edd4 6a2200fe bfed6c90 a340b66c
verification;2; 16f35e31 7ea85f8c
virtos;5; 75e4d32d 16f35e31 73c6dac7 a60f6e5b 716d4e50
wireless;10; a062c1a5 9cb10483 b7ea1fd5 856e6fc1 a2ee9cea 1cdb5979 e9149bf7 f2fb100b 3a37cdc7 1fd5edd4
womendiversity_d;1; bfed6c90
womendiversity_w;16; e9149bf7 1cdb5979 856e6fc1 716d4e50 a60f6e5b b7ea1fd5 596c9360 a340b66c 75fd6fb7 2ad48170 dadb8799 e45d93e2 1231bb27 9cb10483 4bc9c37a f476a125
